"punishment";"offence";"age";"tot";"length";"region";"2023"
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Lejre";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Roskilde";7
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Solrød";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Faxe";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Guldborgsund";13
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Holbæk";9
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Kalundborg";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Lolland";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Næstved";8
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Odsherred";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Ringsted";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Slagelse";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Sorø";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Stevns";0
