"sex";"offence";"region";"age";"length";"2020";"2021";"2022";"2023"
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">2- 3 years";42;55;51;56
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">3 - 4 years";19;17;22;29
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">4 - 5 years";15;20;20;16
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">5 - 6 years";7;7;13;5
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">6 - 8 years";14;8;14;7
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">8 - 12 years";9;8;6;17
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";">12 year -";4;9;3;9
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";"Imprisonment for life";1;1;1;0
"Total";"Nature of the offence, total";"All Denmark";"40-49 years";"Unknown lenght of penalty";0;0;1;4
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";"Up to 14 days";33;27;30;36
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";"15 - 21 days";49;49;51;64
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";"22 - 30 days";56;69;63;89
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";"31 - 60 days";175;135;144;185
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">2 - 3 months";93;85;90;74
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">3 - 4 months";41;46;28;47
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">4 - 6 months";67;53;62;48
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">6 - 9 months";41;35;35;23
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">9 - 12 months";30;36;38;28
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">12 - 15 months";16;16;16;7
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">15 - 18 months";9;22;15;15
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">18 - 24 months";26;13;13;13
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">2- 3 years";27;21;27;18
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">3 - 4 years";6;12;6;8
"Total";"Nature of the offence, total";"All Denmark";"50-59 years";">4 - 5 years";7;4;8;5
