"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Bosnia and Herzegovina";"Offences against decency, by removing clothes";0;0;1;0;0;1;0;0;0;0;0;1;0;0
"Bosnia and Herzegovina";"Offences against decency, other";1;1;0;2;0;0;0;1;0;0;3;1;2;3
"Bosnia and Herzegovina";"Prostitution, etc.";0;0;0;1;0;0;0;0;1;0;3;3;0;2
"Bosnia and Herzegovina";"Crimes of violence, total";65;68;61;49;47;42;30;36;36;48;37;49;41;38
"Bosnia and Herzegovina";"Assault against public servant while in discharge of his duties";7;9;10;14;10;6;7;4;10;3;5;8;7;7
"Bosnia and Herzegovina";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;2;0;0
"Bosnia and Herzegovina";"Homicide";1;1;0;0;0;0;0;0;0;0;0;1;0;0
"Bosnia and Herzegovina";"Attempted homicide";0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Common assault";39;40;31;24;18;20;19;23;18;30;24;28;17;22
"Bosnia and Herzegovina";"Grievous assault";9;7;9;5;8;9;4;5;3;4;3;2;7;3
"Bosnia and Herzegovina";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Bosnia and Herzegovina";"Other offences against life and limb";1;0;3;0;1;2;0;0;0;1;1;1;0;2
"Bosnia and Herzegovina";"Offences against personal liberty";0;1;2;1;0;0;0;2;0;2;1;0;1;1
"Bosnia and Herzegovina";"Threats";8;9;5;5;10;5;0;2;4;8;3;7;9;3
"Bosnia and Herzegovina";"Offenses against property, total";179;207;232;198;199;206;183;155;112;148;117;117;139;110
"Bosnia and Herzegovina";"Forgery";1;3;2;3;6;1;1;2;0;1;1;3;2;1
"Bosnia and Herzegovina";"Cheque forgery";0;0;1;1;1;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Arson";1;0;2;0;1;0;0;0;1;0;0;1;0;0
"Bosnia and Herzegovina";"Burglary (banks, shops, etc.)";4;7;11;9;5;7;11;8;8;6;2;1;3;0
"Bosnia and Herzegovina";"Household burglary";6;5;9;7;4;2;6;8;6;2;4;1;5;1
"Bosnia and Herzegovina";"Burglary (uninhabited buildings)";1;3;0;2;1;2;0;0;1;1;0;1;0;0
"Bosnia and Herzegovina";"Theft from cars, boats, etc.";0;6;2;3;2;2;1;0;1;2;1;0;0;1
"Bosnia and Herzegovina";"Shoplifting, etc.";93;111;111;91;106;130;83;82;58;93;67;63;63;56
"Bosnia and Herzegovina";"Other theft";30;30;33;32;26;22;26;23;14;14;15;15;20;16
"Bosnia and Herzegovina";"Theft of vehicle";2;2;4;2;1;0;4;2;2;2;2;2;1;2
"Bosnia and Herzegovina";"Theft of mopeds";1;1;3;0;1;0;0;1;0;2;0;0;0;0
"Bosnia and Herzegovina";"Theft of bicycles";0;1;1;1;0;1;1;1;1;1;0;0;1;1
"Bosnia and Herzegovina";"Theft of other objects";4;1;1;3;1;0;3;0;0;1;2;0;0;4
"Bosnia and Herzegovina";"Larceny by finding";2;1;6;4;4;2;2;2;0;0;1;0;1;1
"Bosnia and Herzegovina";"Embezzlement";0;0;0;1;1;0;1;0;1;0;0;1;0;0
"Bosnia and Herzegovina";"Fraud";5;7;13;14;12;15;16;9;3;13;10;15;29;16
"Bosnia and Herzegovina";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Fraud of agent";0;1;1;1;1;1;0;0;0;0;1;0;0;0
"Bosnia and Herzegovina";"Blackmail and usury";0;0;1;2;1;0;0;0;0;2;0;0;1;0
"Bosnia and Herzegovina";"Fraud against creditors";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Handling stolen goods";8;6;13;7;10;6;14;7;6;3;5;3;5;2
"Bosnia and Herzegovina";"Robbery";9;10;5;5;3;7;1;5;4;0;1;6;0;1
"Bosnia and Herzegovina";"Gross tax evasion, etc.";0;0;0;0;1;0;0;0;0;0;1;0;0;0
"Bosnia and Herzegovina";"Malicious damage to property";11;11;13;9;10;5;11;4;4;3;3;5;6;5
"Bosnia and Herzegovina";"Feloniously receiving stolen goods";1;1;0;1;1;1;0;0;0;0;1;0;2;0
"Bosnia and Herzegovina";"Misappropriations and offences against property";0;0;0;0;0;2;1;1;2;2;0;0;0;3
"Bosnia and Herzegovina";"Other offences, total";11;14;16;20;18;10;11;12;19;17;16;17;18;15
"Bosnia and Herzegovina";"Offences against public authority, etc.";5;4;9;8;5;3;2;5;6;6;8;5;10;8
"Bosnia and Herzegovina";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Bosnia and Herzegovina";"Perjury";0;1;0;1;2;1;1;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Perjury, other";1;3;2;1;4;1;4;3;1;2;3;2;0;2
"Bosnia and Herzegovina";"Offences concerning money and evidence";1;1;0;3;0;0;1;0;1;0;0;1;1;0
"Bosnia and Herzegovina";"Trafficking of drugs, etc.";1;3;1;2;0;2;0;2;6;4;2;5;4;2
"Bosnia and Herzegovina";"Smuggling, etc. of drugs";0;0;1;1;1;0;1;0;0;0;0;1;1;0
"Bosnia and Herzegovina";"General public offences";1;1;1;0;4;2;1;0;1;1;0;1;0;0
"Bosnia and Herzegovina";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;1;1;0;0;0;0;1
"Bosnia and Herzegovina";"Warnings";2;0;2;1;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Privacy infringement, defamation";0;1;0;3;2;1;1;1;3;4;3;2;2;1
"Bosnia and Herzegovina";"Trafic law, total";393;436;412;522;507;460;486;458;437;466;463;672;649;527
"Bosnia and Herzegovina";"Traffic acc., unspecified";0;0;1;0;0;0;0;0;0;0;0;1;0;1
"Bosnia and Herzegovina";"Traffic acc. under influence of alcohol";0;3;1;3;1;2;0;0;4;2;2;3;1;2
"Bosnia and Herzegovina";"Drunken driving";22;21;26;34;34;38;26;21;25;40;29;38;30;31
"Bosnia and Herzegovina";"Vehicle defect offences";27;23;20;20;16;13;11;4;8;7;9;10;13;6
"Bosnia and Herzegovina";"Road Traffic Act, other";344;389;364;465;456;407;449;433;400;417;423;620;605;487
"Bosnia and Herzegovina";"Special laws, total";97;82;143;204;180;193;193;170;159;185;259;203;204;221
"Bosnia and Herzegovina";"Euphoriants Act";50;45;58;68;61;64;61;47;50;56;83;83;67;66
"Bosnia and Herzegovina";"Firearms Act";9;9;10;13;10;12;7;12;8;14;19;12;17;15
"Bosnia and Herzegovina";"Income Tax And Fiscal Acts";0;1;1;2;13;17;6;8;2;3;5;10;12;8
"Bosnia and Herzegovina";"Other special laws.";15;9;54;74;63;76;90;67;68;87;117;72;64;86
"Bosnia and Herzegovina";"Health and social security legislation";3;2;0;4;5;0;4;4;5;2;3;5;18;4
"Bosnia and Herzegovina";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Environmental Act";0;2;3;2;4;3;0;1;2;2;2;1;4;6
"Bosnia and Herzegovina";"Other legislation applying to animals, hunting, etc";6;4;3;13;8;5;5;3;3;1;3;3;5;7
"Bosnia and Herzegovina";"Employ. and transport legislation, other";2;4;4;11;4;3;6;3;7;7;8;10;9;8
"Bosnia and Herzegovina";"Companies Act";0;0;0;0;0;0;0;1;0;0;0;0;0;2
"Bosnia and Herzegovina";"Other legislation applying to the Armed Forces";2;1;1;1;1;3;7;21;7;9;12;2;1;13
"Bosnia and Herzegovina";"Legislation applying to public utilities";1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Bosnia and Herzegovina";"Other legislation relating to gambling, licencing, trade";8;4;9;16;11;10;7;3;6;4;7;4;3;6
"Bosnia and Herzegovina";"Other special laws";1;0;0;0;0;0;0;0;1;0;0;1;4;0
"Bulgaria";"Criminal decisions total";61;104;144;203;215;276;275;299;334;341;396;548;570;592
"Bulgaria";"Criminal code, total";13;29;33;31;32;47;57;52;35;45;39;49;63;70
"Bulgaria";"Sexual offenses, total";0;2;1;2;0;2;3;2;2;0;3;1;4;5
"Bulgaria";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Rape, etc";0;1;0;0;0;0;0;1;2;0;2;0;0;2
"Bulgaria";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Bulgaria";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Offences against decency, by  pawing";0;0;1;1;0;0;2;0;0;0;0;0;2;0
"Bulgaria";"Offences against decency, by removing clothes";0;1;0;0;0;2;0;1;0;0;1;0;0;0
"Bulgaria";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;1;2
"Bulgaria";"Prostitution, etc.";0;0;0;1;0;0;0;0;0;0;0;1;1;1
"Bulgaria";"Crimes of violence, total";3;4;2;5;4;6;8;5;6;8;6;8;7;9
"Bulgaria";"Assault against public servant while in discharge of his duties";0;1;0;0;0;0;0;2;1;1;1;0;0;1
"Bulgaria";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Homicide";0;0;0;2;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Bulgaria";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Common assault";2;3;2;2;4;4;6;3;4;4;3;5;2;6
"Bulgaria";"Grievous assault";1;0;0;0;0;2;0;0;0;2;1;0;1;2
"Bulgaria";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;1;0;0;1;0
"Bulgaria";"Offences against personal liberty";0;0;0;0;0;0;1;0;0;0;1;1;0;0
"Bulgaria";"Threats";0;0;0;1;0;0;1;0;1;0;0;2;2;0
"Bulgaria";"Offenses against property, total";10;23;28;24;27;39;44;42;27;36;30;37;48;55
"Bulgaria";"Forgery";1;1;0;1;0;2;3;3;2;0;0;0;1;2
"Bulgaria";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Arson";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Bulgaria";"Burglary (banks, shops, etc.)";0;0;1;2;0;0;0;0;1;0;0;0;0;0
"Bulgaria";"Household burglary";0;0;0;0;0;0;1;0;0;0;1;0;0;0
"Bulgaria";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Bulgaria";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Shoplifting, etc.";6;14;19;14;20;19;30;28;15;20;18;28;36;39
"Bulgaria";"Other theft";2;3;2;5;3;3;2;4;4;6;3;4;2;0
"Bulgaria";"Theft of vehicle";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Bulgaria";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Theft of bicycles";1;3;1;0;0;6;1;0;0;0;1;0;2;1
"Bulgaria";"Theft of other objects";0;0;1;1;0;0;0;0;0;0;1;0;0;0
"Bulgaria";"Larceny by finding";0;0;1;0;1;2;0;0;0;0;0;0;3;1
"Bulgaria";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Fraud";0;0;0;0;0;2;4;4;1;5;1;1;1;4
"Bulgaria";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Handling stolen goods";0;1;0;1;2;3;2;0;0;1;2;0;0;0
"Bulgaria";"Robbery";0;0;0;0;0;1;0;0;0;0;1;2;1;1
"Bulgaria";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Bulgaria";"Malicious damage to property";0;0;2;0;0;1;1;3;0;0;1;1;1;4
"Bulgaria";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Misappropriations and offences against property";0;1;1;0;0;0;0;0;3;4;1;0;1;1
"Bulgaria";"Other offences, total";0;1;2;1;1;0;3;4;0;2;0;3;5;2
"Bulgaria";"Offences against public authority, etc.";0;0;0;0;1;0;0;0;0;0;0;2;2;0
"Bulgaria";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Perjury";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Bulgaria";"Perjury, other";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Bulgaria";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Bulgaria";"Trafficking of drugs, etc.";0;0;0;0;0;0;1;2;0;0;0;0;0;0
"Bulgaria";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Bulgaria";"General public offences";0;1;1;1;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Homicide by negligence in traffic accidents";0;0;1;0;0;0;0;1;0;0;0;1;0;1
"Bulgaria";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Privacy infringement, defamation";0;0;0;0;0;0;1;1;0;0;0;0;2;1
"Bulgaria";"Trafic law, total";37;71;94;151;142;190;159;197;238;236;258;420;420;425
"Bulgaria";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Traffic acc. under influence of alcohol";0;0;0;0;0;3;0;1;3;0;0;2;1;3
"Bulgaria";"Drunken driving";6;4;2;13;8;17;11;16;15;23;21;17;13;18
"Bulgaria";"Vehicle defect offences";2;5;4;11;4;6;3;0;5;2;3;4;6;3
"Bulgaria";"Road Traffic Act, other";29;62;88;127;130;164;145;180;215;211;234;397;400;401
"Bulgaria";"Special laws, total";13;8;23;30;48;51;65;61;75;77;118;99;112;131
"Bulgaria";"Euphoriants Act";7;4;12;10;16;25;25;20;22;20;26;32;22;26
"Bulgaria";"Firearms Act";3;1;3;0;8;5;6;2;1;3;9;7;11;7
"Bulgaria";"Income Tax And Fiscal Acts";0;0;0;2;5;3;3;2;5;6;9;6;8;5
"Bulgaria";"Other special laws.";2;0;2;7;13;11;20;21;30;29;44;28;37;67
"Bulgaria";"Health and social security legislation";1;1;0;0;1;1;0;2;0;0;1;5;15;5
"Bulgaria";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Environmental Act";0;1;4;6;0;1;0;1;0;0;0;1;4;2
"Bulgaria";"Other legislation applying to animals, hunting, etc";0;0;1;1;0;1;1;1;2;1;5;3;3;1
"Bulgaria";"Employ. and transport legislation, other";0;1;1;4;4;3;8;12;14;14;22;17;11;15
"Bulgaria";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Bulgaria";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Bulgaria";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bulgaria";"Other legislation relating to gambling, licencing, trade";0;0;0;0;1;1;2;0;0;2;1;0;0;2
"Bulgaria";"Other special laws";0;0;0;0;0;0;0;0;0;2;1;0;1;0
"Estonia";"Criminal decisions total";20;22;25;27;25;26;27;29;29;27;37;30;29;28
"Estonia";"Criminal code, total";11;8;12;9;11;5;8;7;4;5;7;1;3;3
"Estonia";"Sexual offenses, total";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Crimes of violence, total";1;0;2;3;0;1;1;1;0;1;1;0;0;1
"Estonia";"Assault against public servant while in discharge of his duties";0;0;1;3;0;0;0;0;0;1;0;0;0;1
"Estonia";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Common assault";1;0;1;0;0;1;1;1;0;0;1;0;0;0
"Estonia";"Grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Threats";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Offenses against property, total";10;8;10;7;11;5;7;6;4;5;6;1;3;1
"Estonia";"Forgery";0;0;0;0;1;1;0;0;1;0;0;0;0;0
"Estonia";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Burglary (banks, shops, etc.)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Household burglary";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Theft from cars, boats, etc.";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Shoplifting, etc.";7;6;4;6;6;1;5;5;2;4;4;1;2;1
"Estonia";"Other theft";0;0;1;0;1;1;0;0;1;1;0;0;0;0
"Estonia";"Theft of vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Theft of bicycles";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Theft of other objects";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Larceny by finding";0;1;0;0;1;1;0;0;0;0;0;0;0;0
"Estonia";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Fraud";0;0;0;0;1;0;2;1;0;0;0;0;0;0
"Estonia";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Handling stolen goods";0;0;1;0;0;1;0;0;0;0;1;0;0;0
"Estonia";"Robbery";1;0;0;0;1;0;0;0;0;0;0;0;0;0
"Estonia";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Malicious damage to property";2;1;1;1;0;0;0;0;0;0;1;0;1;0
"Estonia";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Other offences, total";1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Estonia";"Offences against public authority, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Perjury, other";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Estonia";"Trafficking of drugs, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Homicide by negligence in traffic accidents";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Privacy infringement, defamation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Trafic law, total";6;15;9;14;9;12;18;16;19;15;19;25;14;17
"Estonia";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Estonia";"Traffic acc. under influence of alcohol";0;1;1;0;0;0;0;1;0;0;0;1;0;0
"Estonia";"Drunken driving";3;4;2;3;1;0;2;1;3;0;0;1;1;4
"Estonia";"Vehicle defect offences";0;0;1;1;1;0;2;0;0;1;2;1;0;0
"Estonia";"Road Traffic Act, other";3;10;5;10;7;12;14;14;15;14;17;22;13;13
"Estonia";"Special laws, total";3;0;6;6;6;12;1;6;7;9;13;4;12;9
"Estonia";"Euphoriants Act";3;0;2;1;2;6;1;0;1;2;3;0;3;2
"Estonia";"Firearms Act";0;0;0;0;0;1;0;0;1;2;2;0;0;0
"Estonia";"Income Tax And Fiscal Acts";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Estonia";"Other special laws.";0;0;3;3;3;3;0;5;4;3;5;3;7;4
"Estonia";"Health and social security legislation";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Estonia";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Environmental Act";0;0;0;1;0;0;0;0;0;0;0;1;0;1
"Estonia";"Other legislation applying to animals, hunting, etc";0;0;1;0;1;0;0;1;1;0;0;0;1;0
"Estonia";"Employ. and transport legislation, other";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Estonia";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;0;0;0;1;1;0;0;0
"Estonia";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Estonia";"Other legislation relating to gambling, licencing, trade";0;0;0;1;0;1;0;0;0;1;1;0;0;0
"Estonia";"Other special laws";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Finland";"Criminal decisions total";54;64;63;59;67;60;68;62;46;49;53;56;60;60
"Finland";"Criminal code, total";17;20;14;16;11;12;12;15;6;6;3;9;13;9
"Finland";"Sexual offenses, total";0;1;1;0;0;0;1;0;0;0;0;1;0;0
"Finland";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Finland";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Finland";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Finland";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Finland";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Finland";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Finland";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Finland";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
