"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Allerød",0,0,0,0,1,0,0,0,0,0
" ","Egedal",0,0,0,1,1,1,2,1,0,1
" ","Fredensborg",0,0,0,0,0,1,0,0,0,2
" ","Frederikssund",0,0,1,0,0,0,0,2,1,0
" ","Furesø",0,0,0,0,1,0,2,3,0,2
" ","Gribskov",0,0,0,1,1,0,1,1,1,2
" ","Halsnæs",1,0,1,1,0,1,0,2,0,3
" ","Helsingør",1,0,1,0,0,1,1,0,1,0
" ","Hillerød",0,0,0,0,0,1,2,1,3,2
" ","Hørsholm",0,0,0,0,0,0,0,1,2,0
" ","Rudersdal",0,0,1,1,0,1,0,0,0,0
" ","Bornholm",0,0,0,1,1,2,1,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",5,5,10,11,13,14,17,12,21,17
" ","Greve",0,0,1,1,1,1,0,1,1,0
" ","Køge",0,0,1,1,0,0,0,1,0,0
" ","Lejre",0,0,0,0,1,0,0,0,0,0
" ","Roskilde",1,0,1,0,0,1,1,1,2,0
" ","Solrød",1,0,0,0,0,0,1,0,0,0
" ","Faxe",0,0,0,0,1,0,1,2,3,1
" ","Guldborgsund",0,0,0,1,3,0,1,2,3,4
" ","Holbæk",0,0,0,1,0,2,2,0,3,0
" ","Kalundborg",0,1,0,1,1,2,1,0,1,0
" ","Lolland",2,0,2,2,1,2,4,0,1,3
" ","Næstved",0,0,1,2,0,2,1,2,4,3
" ","Odsherred",0,0,1,1,0,0,2,1,0,2
" ","Ringsted",0,0,0,0,1,0,1,0,0,1
" ","Slagelse",1,1,1,1,3,1,0,0,3,2
" ","Sorø",0,1,1,0,0,2,0,0,0,0
" ","Stevns",0,0,0,0,1,0,0,0,0,0
" ","Vordingborg",0,2,1,0,0,1,2,2,0,1
" ","Region Syddanmark",14,9,9,16,19,17,12,25,24,21
" ","Assens",1,0,0,0,0,3,0,1,1,2
" ","Faaborg-Midtfyn",1,0,0,0,0,1,1,0,2,1
" ","Kerteminde",0,0,0,1,0,0,0,0,0,0
" ","Langeland",0,0,0,2,0,0,0,0,0,0
" ","Middelfart",1,0,0,0,0,1,0,0,1,1
" ","Nordfyns",1,1,1,0,0,0,0,0,0,1
" ","Nyborg",0,0,0,0,0,1,0,1,1,1
" ","Odense",3,3,5,4,5,1,4,7,3,5
" ","Svendborg",1,1,0,0,2,1,1,0,1,4
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,2,2,0
" ","Esbjerg",1,0,0,1,1,1,1,2,2,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,1,0,0,2,1,0,1,2,0
" ","Haderslev",1,0,0,3,3,2,1,1,1,0
" ","Kolding",0,2,0,1,2,2,0,0,2,0
" ","Sønderborg",1,0,0,1,0,1,0,0,1,0
" ","Tønder",1,0,0,0,0,0,0,4,1,2
" ","Varde",1,1,1,0,1,0,0,1,3,1
" ","Vejen",0,0,0,1,1,1,0,0,0,2
" ","Vejle",1,0,2,2,2,1,2,1,1,0
" ","Aabenraa",0,0,0,0,0,0,2,4,0,1
" ","Region Midtjylland",12,4,6,11,12,8,16,19,23,29
" ","Favrskov",1,1,0,1,0,0,0,0,0,0
" ","Hedensted",0,0,0,0,0,1,0,0,0,2
" ","Horsens",1,0,0,1,0,0,1,1,1,2
" ","Norddjurs",0,0,1,1,1,0,1,3,0,1
" ","Odder",0,0,0,0,1,0,0,0,0,0
" ","Randers",1,0,1,1,1,1,0,1,2,4
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,1,0,1,1,1,1,2,2
" ","Skanderborg",0,0,0,1,0,0,1,0,1,0
" ","Syddjurs",0,0,0,0,0,0,0,1,0,0
" ","Aarhus",2,2,2,1,5,2,4,5,7,4
" ","Herning",0,0,0,2,2,0,3,1,2,3
" ","Holstebro",1,0,1,2,0,0,1,1,1,3
" ","Ikast-Brande",0,0,0,0,1,0,1,0,1,1
" ","Lemvig",0,0,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",0,0,0,0,0,1,0,1,2,0
" ","Skive",1,1,0,0,0,1,1,2,1,2
" ","Struer",0,0,0,0,0,0,1,0,0,2
" ","Viborg",5,0,0,1,0,1,1,2,3,3
" ","Region Nordjylland",7,4,4,7,15,6,10,6,8,12
" ","Brønderslev",0,0,0,2,1,0,0,0,0,1
" ","Frederikshavn",0,1,2,0,2,0,2,1,0,0
" ","Hjørring",1,1,0,2,0,1,1,0,1,1
" ","Jammerbugt",1,1,1,1,2,0,0,1,1,1
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",3,0,0,0,3,0,0,1,2,1
" ","Morsø",0,0,0,0,0,0,0,0,1,1
" ","Rebild",0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,1,2,0,0,0,2
" ","Vesthimmerlands",0,1,0,0,0,0,0,1,0,0
" ","Aalborg",2,0,1,2,6,3,7,2,3,5
"Heterosexual offences with children under 12 years"
" ","All Denmark",40,3,0,2,0,0,0,0,0,1
" ","Region Hovedstaden",6,0,0,0,0,0,0,0,0,0
" ","Copenhagen",2,0,0,0,0,0,0,0,0,0
" ","Frederiksberg",0,0,0,0,0,0,0,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,0,0,0,0,0,0,0
" ","Albertslund",0,0,0,0,0,0,0,0,0,0
" ","Ballerup",0,0,0,0,0,0,0,0,0,0
" ","Brøndby",0,0,0,0,0,0,0,0,0,0
" ","Gentofte",0,0,0,0,0,0,0,0,0,0
" ","Gladsaxe",0,0,0,0,0,0,0,0,0,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",1,0,0,0,0,0,0,0,0,0
" ","Hvidovre",1,0,0,0,0,0,0,0,0,0
" ","Høje-Taastrup",0,0,0,0,0,0,0,0,0,0
" ","Ishøj",1,0,0,0,0,0,0,0,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,0,0,0
" ","Rødovre",0,0,0,0,0,0,0,0,0,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,0
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",0,0,0,0,0,0,0,0,0,0
" ","Furesø",0,0,0,0,0,0,0,0,0,0
" ","Gribskov",0,0,0,0,0,0,0,0,0,0
" ","Halsnæs",0,0,0,0,0,0,0,0,0,0
" ","Helsingør",0,0,0,0,0,0,0,0,0,0
" ","Hillerød",1,0,0,0,0,0,0,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,0,0,0,0,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",5,1,0,0,0,0,0,0,0,0
" ","Greve",0,0,0,0,0,0,0,0,0,0
" ","Køge",0,0,0,0,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,0,0,0,0,0
" ","Roskilde",1,0,0,0,0,0,0,0,0,0
" ","Solrød",1,0,0,0,0,0,0,0,0,0
" ","Faxe",0,0,0,0,0,0,0,0,0,0
" ","Guldborgsund",1,0,0,0,0,0,0,0,0,0
" ","Holbæk",0,1,0,0,0,0,0,0,0,0
" ","Kalundborg",0,0,0,0,0,0,0,0,0,0
" ","Lolland",0,0,0,0,0,0,0,0,0,0
" ","Næstved",0,0,0,0,0,0,0,0,0,0
" ","Odsherred",1,0,0,0,0,0,0,0,0,0
" ","Ringsted",0,0,0,0,0,0,0,0,0,0
" ","Slagelse",1,0,0,0,0,0,0,0,0,0
" ","Sorø",0,0,0,0,0,0,0,0,0,0
" ","Stevns",0,0,0,0,0,0,0,0,0,0
" ","Vordingborg",0,0,0,0,0,0,0,0,0,0
" ","Region Syddanmark",12,1,0,0,0,0,0,0,0,1
" ","Assens",1,0,0,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",0,0,0,0,0,0,0,0,0,0
" ","Kerteminde",0,0,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,0,0,0
" ","Middelfart",1,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,0,0,0,0,0,0,0,0,0
" ","Nyborg",1,0,0,0,0,0,0,0,0,1
" ","Odense",1,0,0,0,0,0,0,0,0,0
" ","Svendborg",0,0,0,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",3,0,0,0,0,0,0,0,0,0
" ","Fanø",1,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,0,0,0,0
" ","Haderslev",0,0,0,0,0,0,0,0,0,0
" ","Kolding",0,0,0,0,0,0,0,0,0,0
" ","Sønderborg",0,0,0,0,0,0,0,0,0,0
" ","Tønder",0,0,0,0,0,0,0,0,0,0
" ","Varde",0,0,0,0,0,0,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,0,0
" ","Vejle",2,1,0,0,0,0,0,0,0,0
" ","Aabenraa",2,0,0,0,0,0,0,0,0,0
" ","Region Midtjylland",11,1,0,2,0,0,0,0,0,0
" ","Favrskov",0,0,0,0,0,0,0,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,0,0
" ","Horsens",1,0,0,0,0,0,0,0,0,0
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",0,0,0,0,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,0,0,0,0,0,0,0,0
" ","Skanderborg",2,0,0,0,0,0,0,0,0,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",1,1,0,0,0,0,0,0,0,0
" ","Herning",1,0,0,0,0,0,0,0,0,0
" ","Holstebro",0,0,0,0,0,0,0,0,0,0
" ","Ikast-Brande",1,0,0,1,0,0,0,0,0,0
" ","Lemvig",0,0,0,1,0,0,0,0,0,0
" ","Ringkøbing-Skjern",1,0,0,0,0,0,0,0,0,0
" ","Skive",1,0,0,0,0,0,0,0,0,0
" ","Struer",0,0,0,0,0,0,0,0,0,0
" ","Viborg",3,0,0,0,0,0,0,0,0,0
" ","Region Nordjylland",6,0,0,0,0,0,0,0,0,0
" ","Brønderslev",1,0,0,0,0,0,0,0,0,0
" ","Frederikshavn",0,0,0,0,0,0,0,0,0,0
" ","Hjørring",2,0,0,0,0,0,0,0,0,0
" ","Jammerbugt",0,0,0,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",1,0,0,0,0,0,0,0,0,0
" ","Morsø",0,0,0,0,0,0,0,0,0,0
" ","Rebild",1,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",1,0,0,0,0,0,0,0,0,0
" ","Aalborg",0,0,0,0,0,0,0,0,0,0
"Sexual offence against child under 12 years (New from 2013)"
" ","All Denmark",19,47,47,42,41,40,56,46,51,32
" ","Region Hovedstaden",3,13,9,5,10,14,12,10,10,5
" ","Copenhagen",1,4,3,1,4,4,5,0,1,0
" ","Frederiksberg",0,0,0,0,0,0,0,1,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,1,1,0,0,0,1,1,1,0
" ","Albertslund",0,1,0,0,0,0,0,0,0,0
" ","Ballerup",0,0,0,0,0,0,0,1,0,0
" ","Brøndby",0,0,0,0,1,0,0,1,1,2
" ","Gentofte",0,0,0,0,0,1,0,0,0,0
" ","Gladsaxe",0,0,0,1,1,0,0,0,0,0
" ","Glostrup",0,0,1,0,0,0,0,0,0,1
" ","Herlev",0,0,0,0,0,1,0,0,0,0
" ","Hvidovre",0,0,0,0,1,1,1,0,0,0
" ","Høje-Taastrup",0,1,0,0,0,1,1,0,3,2
" ","Ishøj",0,1,0,1,1,0,0,0,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,1,0,0
" ","Rødovre",1,0,0,1,0,1,0,0,0,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,1,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,1,1,0
" ","Fredensborg",0,0,0,0,0,1,0,0,0,0
" ","Frederikssund",0,2,1,0,0,0,0,0,0,0
" ","Furesø",0,0,0,0,0,0,0,0,0,0
" ","Gribskov",0,3,1,0,0,1,0,0,0,0
" ","Halsnæs",0,0,0,0,0,1,0,1,2,0
" ","Helsingør",0,0,0,0,0,0,0,2,0,0
" ","Hillerød",1,0,0,0,0,1,1,0,0,0
" ","Hørsholm",0,0,0,0,1,0,1,1,1,0
" ","Rudersdal",0,0,1,1,1,0,2,0,0,0
" ","Bornholm",0,0,1,0,0,0,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",3,17,8,11,10,7,14,12,9,8
" ","Greve",0,1,1,0,0,0,0,0,0,0
" ","Køge",0,0,2,0,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,0,0,0,0,0
" ","Roskilde",0,0,1,0,0,0,0,1,1,1
" ","Solrød",0,0,0,0,1,0,0,0,1,0
" ","Faxe",0,1,1,0,1,1,1,1,1,1
" ","Guldborgsund",0,0,0,2,0,0,0,2,0,2
" ","Holbæk",0,3,0,0,1,1,1,0,1,0
" ","Kalundborg",1,1,0,0,1,1,1,1,1,2
" ","Lolland",1,2,1,1,2,0,1,1,1,1
" ","Næstved",0,4,0,1,0,1,1,1,0,0
" ","Odsherred",0,1,1,3,0,0,2,0,2,0
" ","Ringsted",0,0,0,0,0,0,0,0,0,0
" ","Slagelse",1,1,0,0,3,2,5,0,1,1
" ","Sorø",0,0,0,2,0,0,1,2,0,0
" ","Stevns",0,1,1,2,1,1,0,2,0,0
" ","Vordingborg",0,2,0,0,0,0,1,1,0,0
" ","Region Syddanmark",7,5,10,9,6,7,13,9,12,8
" ","Assens",0,0,0,0,1,1,1,0,0,0
" ","Faaborg-Midtfyn",1,0,0,1,0,1,2,1,1,1
" ","Kerteminde",0,0,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,2,1,0,0,1,1,0,0
" ","Nordfyns",1,0,0,0,1,0,0,0,2,3
" ","Nyborg",0,0,0,1,0,0,1,0,1,1
" ","Odense",0,3,1,2,0,1,1,3,0,1
" ","Svendborg",1,0,1,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,1,1,0,0,0,0,0
" ","Esbjerg",1,1,1,1,0,0,1,1,0,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,2,0,0,0
" ","Haderslev",0,1,1,0,0,0,1,1,2,0
" ","Kolding",0,0,1,0,0,0,2,0,1,0
" ","Sønderborg",0,0,0,0,0,0,0,0,1,0
" ","Tønder",0,0,0,1,0,1,0,0,1,0
" ","Varde",0,0,0,0,0,0,0,0,0,0
" ","Vejen",1,0,2,0,0,1,0,0,1,0
" ","Vejle",0,0,0,1,0,2,1,2,1,2
" ","Aabenraa",2,0,1,0,3,0,0,0,1,0
" ","Region Midtjylland",3,6,9,7,7,9,10,11,13,7
" ","Favrskov",0,1,0,0,1,0,2,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,2,0
" ","Horsens",0,0,0,0,0,1,1,0,0,2
" ","Norddjurs",0,1,0,0,0,0,1,1,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",0,1,2,0,1,0,0,2,1,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,0,0,0,3,0,1,0,1
" ","Skanderborg",0,0,0,0,0,0,0,0,1,0
" ","Syddjurs",1,0,1,0,0,0,0,0,0,0
" ","Aarhus",0,1,3,2,4,2,0,2,4,0
" ","Herning",1,0,0,1,1,0,1,0,1,0
" ","Holstebro",0,0,0,0,0,1,0,2,0,1
" ","Ikast-Brande",1,1,0,1,0,1,1,1,2,1
" ","Lemvig",0,0,0,0,0,0,0,0,1,0
" ","Ringkøbing-Skjern",0,0,1,0,0,0,1,0,0,1
" ","Skive",0,0,1,2,0,1,1,0,0,0
" ","Struer",0,1,0,0,0,0,1,0,0,0
" ","Viborg",0,0,1,1,0,0,1,2,1,1
" ","Region Nordjylland",3,6,11,10,8,3,7,4,7,4
" ","Brønderslev",1,0,2,1,0,0,2,0,1,1
" ","Frederikshavn",0,1,3,4,2,1,1,0,0,1
" ","Hjørring",0,1,1,2,1,0,0,1,2,2
" ","Jammerbugt",1,0,0,0,0,0,1,0,2,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",1,0,2,0,0,0,0,1,0,0
" ","Morsø",0,0,0,0,2,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,1,0,0
" ","Thisted",0,1,1,0,0,0,0,1,0,0
" ","Vesthimmerlands",0,2,0,1,0,0,1,0,0,0
" ","Aalborg",0,1,2,2,3,2,2,0,2,0
"Heterosexual offences, other"
" ","All Denmark",62,7,2,0,0,0,0,0,0,0
" ","Region Hovedstaden",10,2,0,0,0,0,0,0,0,0
" ","Copenhagen",2,1,0,0,0,0,0,0,0,0
" ","Frederiksberg",0,0,0,0,0,0,0,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,0,0,0,0,0,0,0
" ","Albertslund",0,0,0,0,0,0,0,0,0,0
" ","Ballerup",0,1,0,0,0,0,0,0,0,0
" ","Brøndby",0,0,0,0,0,0,0,0,0,0
" ","Gentofte",0,0,0,0,0,0,0,0,0,0
" ","Gladsaxe",1,0,0,0,0,0,0,0,0,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,0,0,0,0
" ","Hvidovre",0,0,0,0,0,0,0,0,0,0
" ","Høje-Taastrup",1,0,0,0,0,0,0,0,0,0
" ","Ishøj",0,0,0,0,0,0,0,0,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,0,0,0
" ","Rødovre",0,0,0,0,0,0,0,0,0,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,0
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",2,0,0,0,0,0,0,0,0,0
" ","Furesø",0,0,0,0,0,0,0,0,0,0
" ","Gribskov",1,0,0,0,0,0,0,0,0,0
" ","Halsnæs",0,0,0,0,0,0,0,0,0,0
" ","Helsingør",1,0,0,0,0,0,0,0,0,0
" ","Hillerød",1,0,0,0,0,0,0,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",1,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,0,0,0,0,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",7,1,0,0,0,0,0,0,0,0
" ","Greve",0,0,0,0,0,0,0,0,0,0
" ","Køge",1,0,0,0,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,0,0,0,0,0
" ","Roskilde",1,0,0,0,0,0,0,0,0,0
" ","Solrød",0,0,0,0,0,0,0,0,0,0
" ","Faxe",0,0,0,0,0,0,0,0,0,0
" ","Guldborgsund",0,0,0,0,0,0,0,0,0,0
" ","Holbæk",0,0,0,0,0,0,0,0,0,0
" ","Kalundborg",0,0,0,0,0,0,0,0,0,0
" ","Lolland",2,0,0,0,0,0,0,0,0,0
" ","Næstved",0,1,0,0,0,0,0,0,0,0
" ","Odsherred",0,0,0,0,0,0,0,0,0,0
" ","Ringsted",0,0,0,0,0,0,0,0,0,0
" ","Slagelse",0,0,0,0,0,0,0,0,0,0
" ","Sorø",1,0,0,0,0,0,0,0,0,0
" ","Stevns",0,0,0,0,0,0,0,0,0,0
" ","Vordingborg",2,0,0,0,0,0,0,0,0,0
" ","Region Syddanmark",18,3,0,0,0,0,0,0,0,0
" ","Assens",0,0,0,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",0,1,0,0,0,0,0,0,0,0
" ","Kerteminde",2,0,0,0,0,0,0,0,0,0
" ","Langeland",1,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,0,0,0,0,0,0,0,0,0
" ","Nyborg",0,0,0,0,0,0,0,0,0,0
" ","Odense",5,0,0,0,0,0,0,0,0,0
" ","Svendborg",0,0,0,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",3,0,0,0,0,0,0,0,0,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,0,0,0,0
" ","Haderslev",0,1,0,0,0,0,0,0,0,0
" ","Kolding",1,0,0,0,0,0,0,0,0,0
" ","Sønderborg",0,0,0,0,0,0,0,0,0,0
" ","Tønder",2,0,0,0,0,0,0,0,0,0
" ","Varde",0,0,0,0,0,0,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,0,0
" ","Vejle",2,1,0,0,0,0,0,0,0,0
" ","Aabenraa",2,0,0,0,0,0,0,0,0,0
" ","Region Midtjylland",14,0,1,0,0,0,0,0,0,0
" ","Favrskov",1,0,0,0,0,0,0,0,0,0
" ","Hedensted",2,0,0,0,0,0,0,0,0,0
" ","Horsens",2,0,0,0,0,0,0,0,0,0
" ","Norddjurs",1,0,0,0,0,0,0,0,0,0
" ","Odder",1,0,0,0,0,0,0,0,0,0
" ","Randers",1,0,0,0,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,0,0,0,0,0,0,0,0
" ","Skanderborg",0,0,0,0,0,0,0,0,0,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",2,0,1,0,0,0,0,0,0,0
" ","Herning",1,0,0,0,0,0,0,0,0,0
" ","Holstebro",1,0,0,0,0,0,0,0,0,0
" ","Ikast-Brande",0,0,0,0,0,0,0,0,0,0
" ","Lemvig",0,0,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",1,0,0,0,0,0,0,0,0,0
" ","Skive",0,0,0,0,0,0,0,0,0,0
" ","Struer",0,0,0,0,0,0,0,0,0,0
" ","Viborg",1,0,0,0,0,0,0,0,0,0
" ","Region Nordjylland",13,1,1,0,0,0,0,0,0,0
" ","Brønderslev",0,0,0,0,0,0,0,0,0,0
" ","Frederikshavn",2,0,0,0,0,0,0,0,0,0
" ","Hjørring",1,0,0,0,0,0,0,0,0,0
" ","Jammerbugt",2,0,1,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,0,0,0,0,0,0,0,0,0
" ","Morsø",0,0,0,0,0,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",1,0,0,0,0,0,0,0,0,0
" ","Aalborg",7,1,0,0,0,0,0,0,0,0
"Sexual offence against child under 15 years (New from 2013)"
" ","All Denmark",18,66,71,86,62,64,78,72,66,65
" ","Region Hovedstaden",2,6,8,9,12,14,12,9,9,11
" ","Copenhagen",0,0,1,2,4,1,5,2,1,6
" ","Frederiksberg",0,0,0,2,0,2,0,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,1,0,0,0,1,1,0,0,0
" ","Albertslund",0,0,0,0,0,1,0,0,0,0
" ","Ballerup",0,0,0,0,0,0,1,0,0,1
" ","Brøndby",1,0,0,0,0,0,0,1,0,0
" ","Gentofte",0,0,0,0,0,0,0,1,0,0
" ","Gladsaxe",0,0,0,0,1,0,0,0,0,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,1,0,0,0
" ","Hvidovre",0,0,0,0,1,1,0,1,3,0
" ","Høje-Taastrup",0,0,1,0,0,1,0,1,0,1
" ","Ishøj",0,1,0,0,0,0,0,0,1,0
" ","Lyngby-Taarbæk",0,0,0,0,2,0,1,0,1,0
" ","Rødovre",0,1,0,0,0,0,0,0,0,0
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,1,0,0,0,0,0,0,0
" ","Egedal",1,0,0,0,0,0,0,0,2,0
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",0,0,0,2,1,1,1,0,0,1
" ","Furesø",0,0,1,0,0,2,0,0,0,1
" ","Gribskov",0,1,2,0,1,1,0,0,1,0
" ","Halsnæs",0,1,0,0,0,2,0,0,0,0
" ","Helsingør",0,1,0,0,1,0,0,0,0,1
" ","Hillerød",0,0,0,1,0,0,1,1,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,0
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,2,2,1,1,1,2,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",4,17,13,22,14,13,23,15,21,11
" ","Greve",0,0,1,0,1,0,0,0,0,0
" ","Køge",0,2,1,0,1,1,2,0,2,0
" ","Lejre",0,0,0,2,0,1,1,0,0,0
" ","Roskilde",0,2,0,2,0,2,0,0,0,0
" ","Solrød",0,0,0,0,0,0,1,0,1,1
" ","Faxe",0,1,2,1,1,1,0,2,2,1
" ","Guldborgsund",0,2,1,3,0,2,4,5,1,1
" ","Holbæk",0,5,0,1,0,1,0,2,1,0
" ","Kalundborg",0,0,0,0,2,2,2,0,0,1
" ","Lolland",0,1,1,2,1,0,3,1,1,0
" ","Næstved",0,1,1,4,2,0,5,1,4,1
" ","Odsherred",0,0,1,0,0,0,1,1,1,1
" ","Ringsted",1,0,0,1,1,1,1,1,1,1
" ","Slagelse",3,1,0,2,3,1,2,1,3,3
" ","Sorø",0,0,3,0,0,1,0,0,1,1
" ","Stevns",0,0,1,1,0,0,0,0,2,0
" ","Vordingborg",0,2,1,3,2,0,1,1,1,0
" ","Region Syddanmark",5,14,25,23,17,20,18,18,22,23
" ","Assens",1,1,0,0,1,0,0,0,0,0
" ","Faaborg-Midtfyn",0,1,0,1,0,3,1,1,0,1
" ","Kerteminde",0,1,0,0,0,1,0,0,0,0
" ","Langeland",0,0,0,1,0,0,0,0,0,0
" ","Middelfart",0,0,1,0,2,0,0,0,0,0
" ","Nordfyns",0,0,3,0,0,0,0,2,0,2
" ","Nyborg",0,1,2,2,0,0,1,1,1,1
" ","Odense",1,2,1,2,4,2,1,4,4,3
" ","Svendborg",0,0,2,3,0,0,3,0,3,2
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,1,0,0,1,0,0,0,0,0
" ","Esbjerg",0,1,0,1,0,1,1,0,4,1
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,1,2,0,2,0,1,1,1
" ","Haderslev",1,1,1,3,0,2,0,0,0,1
" ","Kolding",0,0,5,2,1,2,3,2,2,4
" ","Sønderborg",1,1,2,1,1,1,2,2,2,0
" ","Tønder",0,0,1,1,0,2,1,0,0,2
" ","Varde",0,0,1,2,1,1,0,3,2,2
" ","Vejen",0,0,1,0,0,1,2,0,0,0
" ","Vejle",0,3,1,1,4,2,1,1,2,2
