"Age, total";"Total";"Region Hovedstaden";"Zambia";73
"Age, total";"Total";"Region Hovedstaden";"Zimbabwe";91
"Age, total";"Total";"Region Hovedstaden";"Equatorial Guinea";2
"Age, total";"Total";"Region Hovedstaden";"Africa not stated";5
"Age, total";"Total";"Region Hovedstaden";"Canada";1392
"Age, total";"Total";"Region Hovedstaden";"USA";6203
"Age, total";"Total";"Region Hovedstaden";"North America not stated";0
"Age, total";"Total";"Region Hovedstaden";"Antigua and Barbuda";2
"Age, total";"Total";"Region Hovedstaden";"Argentina";1408
"Age, total";"Total";"Region Hovedstaden";"Aruba";0
"Age, total";"Total";"Region Hovedstaden";"Bahamas";6
"Age, total";"Total";"Region Hovedstaden";"Barbados";8
"Age, total";"Total";"Region Hovedstaden";"Belize";2
"Age, total";"Total";"Region Hovedstaden";"Bermuda";0
"Age, total";"Total";"Region Hovedstaden";"Bolivia";48
"Age, total";"Total";"Region Hovedstaden";"Brazil";2136
"Age, total";"Total";"Region Hovedstaden";"British West Indies";0
"Age, total";"Total";"Region Hovedstaden";"Chile";746
"Age, total";"Total";"Region Hovedstaden";"Colombia";517
"Age, total";"Total";"Region Hovedstaden";"Costa Rica";65
"Age, total";"Total";"Region Hovedstaden";"Cuba";256
"Age, total";"Total";"Region Hovedstaden";"Curacao";0
"Age, total";"Total";"Region Hovedstaden";"Dominica";6
"Age, total";"Total";"Region Hovedstaden";"Dominican Republic";63
"Age, total";"Total";"Region Hovedstaden";"Ecuador";129
"Age, total";"Total";"Region Hovedstaden";"El Salvador";33
"Age, total";"Total";"Region Hovedstaden";"Falkland Islands";0
"Age, total";"Total";"Region Hovedstaden";"French Guiana";0
"Age, total";"Total";"Region Hovedstaden";"French West Indies";0
"Age, total";"Total";"Region Hovedstaden";"Grenada";5
"Age, total";"Total";"Region Hovedstaden";"Guadeloupe";0
"Age, total";"Total";"Region Hovedstaden";"Guatemala";63
"Age, total";"Total";"Region Hovedstaden";"Guyana";2
"Age, total";"Total";"Region Hovedstaden";"Haiti";13
"Age, total";"Total";"Region Hovedstaden";"Honduras";43
"Age, total";"Total";"Region Hovedstaden";"Jamaica";49
"Age, total";"Total";"Region Hovedstaden";"Martinique";0
"Age, total";"Total";"Region Hovedstaden";"Mexico";910
"Age, total";"Total";"Region Hovedstaden";"Nauru";0
"Age, total";"Total";"Region Hovedstaden";"Netherlands Antilles";0
"Age, total";"Total";"Region Hovedstaden";"Nicaragua";62
"Age, total";"Total";"Region Hovedstaden";"Panama";73
"Age, total";"Total";"Region Hovedstaden";"Paraguay";21
"Age, total";"Total";"Region Hovedstaden";"Peru";348
"Age, total";"Total";"Region Hovedstaden";"Puerto Rico";0
"Age, total";"Total";"Region Hovedstaden";"Saint Kitts and Nevis";6
"Age, total";"Total";"Region Hovedstaden";"Saint Lucia";6
"Age, total";"Total";"Region Hovedstaden";"Saint Vincent and the Grenadines";0
"Age, total";"Total";"Region Hovedstaden";"Suriname";0
"Age, total";"Total";"Region Hovedstaden";"Trinidad and Tobago";36
"Age, total";"Total";"Region Hovedstaden";"Uruguay";39
"Age, total";"Total";"Region Hovedstaden";"Venezuela";217
"Age, total";"Total";"Region Hovedstaden";"West Indies";0
"Age, total";"Total";"Region Hovedstaden";"South and central America not stated";0
"Age, total";"Total";"Region Hovedstaden";"Abu Dhabi";0
"Age, total";"Total";"Region Hovedstaden";"Afghanistan";3567
"Age, total";"Total";"Region Hovedstaden";"Armenia";154
"Age, total";"Total";"Region Hovedstaden";"Azerbaijan";152
"Age, total";"Total";"Region Hovedstaden";"Bahrain";8
"Age, total";"Total";"Region Hovedstaden";"Bangladesh";2912
"Age, total";"Total";"Region Hovedstaden";"Bhutan";26
"Age, total";"Total";"Region Hovedstaden";"Brunei";1
"Age, total";"Total";"Region Hovedstaden";"Cambodia";101
"Age, total";"Total";"Region Hovedstaden";"Dubai";0
"Age, total";"Total";"Region Hovedstaden";"Philippines";4472
"Age, total";"Total";"Region Hovedstaden";"United Arab Emirates";3
"Age, total";"Total";"Region Hovedstaden";"Gaza";0
"Age, total";"Total";"Region Hovedstaden";"Georgia";110
"Age, total";"Total";"Region Hovedstaden";"Hong Kong";0
"Age, total";"Total";"Region Hovedstaden";"India";11350
"Age, total";"Total";"Region Hovedstaden";"Indochina";0
"Age, total";"Total";"Region Hovedstaden";"Indonesia";490
"Age, total";"Total";"Region Hovedstaden";"Iraq";4037
"Age, total";"Total";"Region Hovedstaden";"Iran";6267
"Age, total";"Total";"Region Hovedstaden";"Israel";416
"Age, total";"Total";"Region Hovedstaden";"Japan";1106
"Age, total";"Total";"Region Hovedstaden";"Jordan";658
"Age, total";"Total";"Region Hovedstaden";"Kazakhstan";86
"Age, total";"Total";"Region Hovedstaden";"China";7760
"Age, total";"Total";"Region Hovedstaden";"Kyrgyzstan";30
"Age, total";"Total";"Region Hovedstaden";"Kuwait";7
"Age, total";"Total";"Region Hovedstaden";"Laos";23
"Age, total";"Total";"Region Hovedstaden";"Lebanon";631
"Age, total";"Total";"Region Hovedstaden";"Macao";0
"Age, total";"Total";"Region Hovedstaden";"Malaysia";298
"Age, total";"Total";"Region Hovedstaden";"Maldives";4
"Age, total";"Total";"Region Hovedstaden";"Middle East not stated";2
"Age, total";"Total";"Region Hovedstaden";"Mongolia";24
"Age, total";"Total";"Region Hovedstaden";"Myanmar";276
"Age, total";"Total";"Region Hovedstaden";"Nepal";6328
"Age, total";"Total";"Region Hovedstaden";"North Korea";19
"Age, total";"Total";"Region Hovedstaden";"North Yemen";0
"Age, total";"Total";"Region Hovedstaden";"Oman";2
"Age, total";"Total";"Region Hovedstaden";"Pakistan";8587
"Age, total";"Total";"Region Hovedstaden";"Palestine";0
"Age, total";"Total";"Region Hovedstaden";"Qatar";2
"Age, total";"Total";"Region Hovedstaden";"Saudi Arabia";23
"Age, total";"Total";"Region Hovedstaden";"Sikkim";0
"Age, total";"Total";"Region Hovedstaden";"Singapore";353
"Age, total";"Total";"Region Hovedstaden";"Sri Lanka";459
"Age, total";"Total";"Region Hovedstaden";"South Korea";568
"Age, total";"Total";"Region Hovedstaden";"Syria";5591
"Age, total";"Total";"Region Hovedstaden";"Tajikistan";10
"Age, total";"Total";"Region Hovedstaden";"Taiwan";236
"Age, total";"Total";"Region Hovedstaden";"Thailand";4072
"Age, total";"Total";"Region Hovedstaden";"Trucial Oman";0
"Age, total";"Total";"Region Hovedstaden";"Turkmenistan";6
"Age, total";"Total";"Region Hovedstaden";"Uzbekistan";104
"Age, total";"Total";"Region Hovedstaden";"West Bank";0
"Age, total";"Total";"Region Hovedstaden";"West bank and Gaza";0
"Age, total";"Total";"Region Hovedstaden";"Vietnam";859
"Age, total";"Total";"Region Hovedstaden";"Yemen";35
"Age, total";"Total";"Region Hovedstaden";"East Jerusalem";0
"Age, total";"Total";"Region Hovedstaden";"Asia not stated";2
